theta,theta_dot,torque,label1,label2
0.687351,-0.881158,-0.21872,-0.881158,6.01446
5.65619,3.25385,0.00185722,3.25385,-5.78634
3.85786,-3.04172,0.637736,-3.04172,-5.77282
0.358925,1.16522,0.628053,1.16522,4.06234
1.10448,-4.49768,-0.444565,-4.49768,8.36299
3.12647,-0.943943,0.838377,-0.943943,0.996201
5.68244,4.69807,0.86866,4.69807,-4.72353
5.25091,-3.83989,-0.692412,-3.83989,-9.07558
4.33876,4.31643,0.0832427,4.31643,-9.0931
0.993749,-0.210523,0.573544,-0.210523,8.79719
5.41385,-0.375138,-0.203997,-0.375138,-7.69412
4.52912,-1.21654,-0.0289748,-1.21654,-9.66252
5.99539,-0.861978,-0.427296,-0.861978,-3.20311
0.552362,-1.55941,-0.597501,-1.55941,4.5654
1.92952,4.56899,0.81795,4.56899,9.9578
3.92729,0.896829,-0.114601,0.896829,-7.06235
4.59725,-1.78818,0.437948,-1.78818,-9.28921
2.01566,-3.56039,-0.7069,-3.56039,8.18387
3.51776,-1.48381,-0.681684,-1.48381,-4.27066
1.02691,-2.07645,0.382787,-2.07645,8.79801
5.98634,-3.5673,-0.120257,-3.5673,-2.95403
2.76419,4.8904,-0.5165,4.8904,3.04965
5.24363,-3.68066,0.24112,-3.68066,-8.18006
5.86061,1.48699,0.399638,1.48699,-3.63843
4.44099,-1.63622,-0.239115,-1.63622,-9.67369
3.58733,2.6284,-0.67628,2.6284,-4.93185
0.213522,0.236345,0.0423992,0.236345,2.11881
2.18723,3.62436,0.0888017,3.62436,8.057
1.67293,0.0837211,-0.148479,0.0837211,9.60957
0.37527,2.44645,-0.949152,2.44645,2.62198
3.32892,-1.00654,0.22195,-1.00654,-1.59496
4.13646,-1.8481,0.849129,-1.8481,-7.35989
0.692405,2.79509,0.819283,2.79509,7.05394
5.44398,-1.5486,-0.89988,-1.5486,-8.18417
2.60039,0.780529,-0.502277,0.780529,4.54368
4.57397,0.559047,-0.996277,0.559047,-10.718
1.77154,-3.17108,0.981941,-3.17108,10.6267
1.0929,1.90186,-0.731832,1.90186,7.96007
0.90473,1.54612,-0.290887,1.54612,7.40685
1.77464,4.11277,-0.900958,4.11277,8.66481
1.18755,-2.43328,0.243878,-2.43328,9.36656
3.25468,-3.20523,-0.697113,-3.20523,-1.77212
5.39779,-0.721885,0.09204,-0.721885,-7.49528
0.187523,-2.65248,-0.463073,-2.65248,1.39229
3.82658,0.914588,0.283417,0.914588,-5.93219
5.74837,-0.813624,0.263936,-0.813624,-4.7279
0.460298,4.1402,-0.634416,4.1402,3.68193
4.54412,4.90273,0.239122,4.90273,-9.48136
0.914684,-3.81103,0.568131,-3.81103,8.37939
2.23735,3.85065,0.204598,3.85065,7.87631
0.432541,4.61972,-0.0472319,4.61972,4.01872
4.97504,-0.167575,0.179008,-0.167575,-9.29287
0.200916,-0.7023,0.829653,-0.7023,2.79443
1.77763,-1.48627,0.887917,-1.48627,10.5037
2.20006,1.64599,-0.436944,1.64599,7.47761
4.0272,-2.81153,-0.734266,-2.81153,-8.30205
2.16832,-4.56399,0.980441,-4.56399,9.13633
4.15846,4.44736,-0.663186,4.44736,-9.05072
4.52531,0.851275,-0.109616,0.851275,-9.75695
1.08245,3.99654,-0.464754,3.99654,8.1586
5.06134,0.384027,-0.464422,0.384027,-9.68703
3.45105,-0.124928,-0.344729,-0.124928,-3.33106
1.08991,4.68595,-0.98238,4.68595,7.66814
1.64069,-1.06946,0.0933164,-1.06946,9.89006
5.04446,4.99631,-0.967331,4.99631,-10.2914
0.252268,-1.6378,0.660156,-1.6378,3.12512
1.56256,0.619855,-0.539054,0.619855,9.26441
5.91334,3.12345,0.549736,3.12345,-3.02754
2.16868,0.231469,-0.252317,0.231469,7.85362
0.308145,-3.16557,-0.743236,-3.16557,2.26371
