x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
-0.687803,0.0596909,-0.198685,-0.175036,-0.529569,-0.198685,-0.175036,-0.470892,-0.230335
-1.6963,0.0323839,-0.843536,0.120744,-0.248461,-0.843536,0.120744,-0.216668,-0.202151
-1.63942,-0.119265,-0.377743,-0.664782,-8.42642,-0.377743,-0.664782,-8.53286,19.2789
0.790023,-0.0638047,-0.351326,-0.69334,6.37513,-0.351326,-0.69334,6.30861,-11.3406
-0.887068,-0.0600443,0.232838,0.790623,7.25221,0.232838,0.790623,7.18899,-13.1747
-0.222619,-0.173463,0.268949,-0.661267,6.85761,0.268949,-0.661267,6.6672,-9.74798
-1.38628,-0.068754,-0.407358,0.299539,-0.96376,-0.407358,0.299539,-1.03082,3.40465
1.33895,0.114272,-0.348135,-0.146142,2.8768,-0.348135,-0.146142,2.98417,-8.16657
0.533802,0.113318,-0.133444,-0.654113,2.28254,-0.133444,-0.654113,2.39211,-6.97208
1.73313,-0.0725602,-0.412309,0.609666,-4.5529,-0.412309,0.609666,-4.62274,10.6435
0.595234,0.0769576,-0.659715,0.277902,4.7421,-0.659715,0.277902,4.81475,-11.1094
0.493009,0.12829,0.387783,-0.859231,-5.31224,0.387783,-0.859231,-5.17457,7.75395
0.973328,0.110291,-0.717501,0.353413,-5.71192,-0.717501,0.353413,-5.59713,8.96672
1.62564,0.0703012,0.632527,0.20421,-9.85438,0.632527,0.20421,-9.78067,18.1349
0.402457,-0.199266,-0.441481,-0.698455,-1.98021,-0.441481,-0.698455,-2.16689,8.13179
0.341361,-0.0152743,0.274754,-0.267214,0.23779,0.274754,-0.267214,0.222748,-0.145774
-0.330433,-0.123559,0.327965,-0.801265,-3.10079,0.327965,-0.801265,-3.21984,8.80864
1.75197,-0.0293363,0.741747,-0.456121,3.06199,0.741747,-0.456121,3.03267,-5.48723
2.24633,-0.0635174,-0.615175,0.369681,7.24766,-0.615175,0.369681,7.18219,-13.09
1.25144,0.135125,-0.559306,0.270609,-8.45139,-0.559306,0.270609,-8.30487,13.8152
2.09328,0.0119696,-0.462242,-0.0856207,-0.156823,-0.462242,-0.0856207,-0.145076,0.0552925
0.348066,-0.162137,0.497734,-0.416857,-4.51638,0.497734,-0.416857,-4.66191,12.3687
-1.17842,-0.120147,-0.294024,0.0517284,8.11933,-0.294024,0.0517284,7.9911,-13.5154
2.2914,0.0224734,0.285898,0.37316,4.24403,0.285898,0.37316,4.26601,-8.97076
-1.52656,-0.164535,-0.916037,-0.0990349,-3.95733,-0.916037,-0.0990349,-4.10491,11.3126
-0.185532,0.142432,0.517645,0.428826,5.92388,0.517645,0.428826,6.05083,-14.7642
0.726641,-0.113594,-0.948901,-0.64344,6.37908,-0.948901,-0.64344,6.25821,-10.2118
0.60731,-0.0775683,-0.353553,0.62517,9.22846,-0.353553,0.62517,9.14567,-16.716
-1.06905,0.121864,0.0285133,-0.02305,5.768,0.0285133,-0.02305,5.87768,-14.0532
-0.801979,0.18378,0.837605,0.726187,-6.67748,0.837605,0.726187,-6.47478,9.14598
-0.386239,0.0775747,0.627571,-0.353255,5.25134,0.627571,-0.353255,5.32442,-12.1373
-2.17096,0.197407,-0.588366,-0.994087,9.10861,-0.588366,-0.994087,9.27131,-22.0305
1.60774,-0.0406849,0.624203,0.381111,-6.07099,0.624203,0.381111,-6.11014,13.0082
0.0727383,0.178849,-0.202638,0.913795,-5.48134,-0.202638,0.913795,-5.28545,6.91195
-2.04246,0.133139,0.56327,-0.829353,3.53015,0.56327,-0.829353,3.65734,-9.85442
-0.0662785,-0.110418,0.338539,-0.731735,-6.01717,0.338539,-0.731735,-6.12013,14.3277
-0.637189,-0.111327,0.404848,0.410354,-4.64189,0.404848,0.410354,-4.74528,11.6115
0.00532793,-0.166338,0.57217,-0.187901,-8.68333,0.57217,-0.187901,-8.81963,20.6443
0.27308,-0.089883,-0.625706,-0.437508,-1.55786,-0.625706,-0.437508,-1.64509,5.03804
-1.09442,-0.185792,-0.536283,-0.557018,-3.19451,-0.536283,-0.557018,-3.36399,10.2365
-1.78474,0.0385533,0.985403,0.434195,2.82004,0.985403,0.434195,2.85776,-6.46751
1.81306,0.186024,0.460952,0.524194,0.692644,0.460952,0.524194,0.870516,-5.33978
0.918385,-0.00778184,-0.307566,0.0946574,-6.28971,-0.307566,0.0946574,-6.29731,12.7469
2.16761,-0.139024,0.835185,0.799737,1.30018,0.835185,0.799737,1.15889,0.423467
-0.93653,-0.0652297,-0.953238,-0.762148,1.376,-0.953238,-0.762148,1.30975,-1.33502
1.63504,0.100262,0.132864,-0.940753,-5.02608,0.132864,-0.940753,-4.91902,7.82479
-0.98078,0.0684795,-0.23208,0.692781,6.39322,-0.23208,0.692781,6.45881,-14.2299
-0.00387852,-0.161735,0.65353,0.00303319,-1.72562,0.65353,0.00303319,-1.87666,6.86376
1.27644,0.0402338,-0.852934,0.727456,-4.49085,-0.852934,0.727456,-4.44963,8.10289
-0.476974,-0.0439636,-0.995778,0.239599,-9.89549,-0.995778,0.239599,-9.93677,20.7166
0.274171,-0.134649,-0.0687856,0.908729,7.75474,-0.0687856,0.908729,7.60499,-12.4385
2.09325,0.159434,-0.0270016,-0.430991,8.31512,-0.0270016,-0.430991,8.44906,-19.7987
-1.02422,-0.197975,-0.348162,0.0836338,-1.68634,-0.348162,0.0836338,-1.86836,7.52267
0.96816,0.165505,-0.475503,-0.487394,-7.68522,-0.475503,-0.487394,-7.50348,11.5695
1.67997,-0.184786,-0.484402,0.769462,-7.15169,-0.484402,0.769462,-7.30962,17.9753
0.542444,0.0899794,-0.682103,0.905212,7.7357,-0.682103,0.905212,7.82086,-17.3415
2.30032,-0.133852,0.987854,-0.404985,7.60103,0.987854,-0.404985,7.45691,-12.1621
0.0517201,-0.118756,0.0806634,0.0873677,4.72285,0.0806634,0.0873677,4.60094,-6.81255
-2.2561,0.115569,0.142517,0.4144,-7.0029,0.142517,0.4144,-6.8804,11.4066
1.7986,-0.000850287,-0.400198,-0.28609,0.188979,-0.400198,-0.28609,0.188141,-0.3596
-1.5575,-0.125113,-0.51179,-0.758007,-4.48579,-0.51179,-0.758007,-4.60366,11.5837
2.10668,0.0649899,-0.590006,0.829514,6.55335,-0.590006,0.829514,6.61637,-14.479
1.09161,-0.189136,0.589459,0.88463,-5.03159,0.589459,0.88463,-5.20171,13.9067
-2.11595,0.00532987,-0.0858248,0.704214,-3.02657,-0.0858248,0.704214,-3.0212,5.93774
-0.00946325,0.105165,-0.760275,-0.545781,5.63027,-0.760275,-0.545781,5.72793,-13.4521
